Weekday,timeInterval,checkHashtags,index,likeRank
Thursday,12-15,1,1040,high
Thursday,6-9,1,1041,medium
Thursday,6-9,1,1042,medium
Wednesday,9-12,1,1043,medium
Wednesday,9-12,0,1044,low
Wednesday,6-9,1,1046,medium
Wednesday,6-9,1,1047,low
Wednesday,6-9,1,1048,high
Tuesday,9-12,1,1049,high
Tuesday,9-12,1,1050,high
Tuesday,6-9,1,1051,medium
Tuesday,6-9,1,1052,high
Monday,12-15,1,1054,medium
Monday,9-12,0,1056,medium
Sunday,9-12,1,1058,high
Sunday,9-12,1,1059,low
Sunday,9-12,1,1060,low
Sunday,3-6,1,1061,medium
Sunday,3-6,1,1062,high
Saturday,12-15,1,1063,medium
Saturday,6-9,1,1064,medium
Friday,12-15,1,1066,medium
Friday,9-12,1,1067,medium
Friday,9-12,1,1068,medium
Friday,6-9,0,1069,medium
Friday,3-6,1,1070,medium
Thursday,9-12,1,1071,medium
Thursday,6-9,1,1072,low
Thursday,6-9,1,1074,medium
Thursday,3-6,0,1075,high
Wednesday,12-15,1,1076,medium
Wednesday,12-15,1,1077,medium
Wednesday,9-12,1,1078,medium
Wednesday,9-12,1,1079,high
Wednesday,9-12,1,1080,medium
Wednesday,9-12,1,1081,medium
Tuesday,12-15,1,1082,high
Tuesday,6-9,1,1084,medium
Monday,12-15,1,1085,medium
Monday,9-12,1,1086,low
Monday,9-12,1,1087,low
Monday,9-12,1,1088,medium
Monday,6-9,1,1089,medium
Monday,3-6,1,1091,medium
Monday,3-6,1,1092,medium
Saturday,9-12,1,1093,medium
Saturday,9-12,1,1094,medium
Saturday,6-9,1,1095,low
Friday,9-12,1,1096,medium
Thursday,6-9,1,1097,high
Wednesday,3-6,1,1098,medium
Tuesday,9-12,1,1099,high
Tuesday,3-6,1,1100,medium
Monday,9-12,1,1101,high
Monday,9-12,1,1102,high
Monday,6-9,1,1103,medium
Monday,3-6,1,1105,high
Monday,3-6,1,1106,low
Sunday,12-15,1,1107,medium
Sunday,9-12,1,1108,high
Saturday,6-9,1,1109,low
Saturday,6-9,1,1111,low
Friday,12-15,1,1112,medium
Friday,12-15,1,1113,low
Friday,9-12,1,1114,high
